"","FOLIO","id_hogar","g.alimentos","g.vestimenta","g.cuentas","g.hogar","g.salud","g.transporte","g.comunicaciones","g.recreacion","g.educacion","g.restaurantes","total_expenses","savings","n_personas","macrozona","quintil","n_menores_0_4","n_menores_5_14","n_trabajadores","edad_promedio","n_profesionales","income_person_week","ingreso_hogar","n_personas_cut","n_menores_0_4_cut","n_menores_5_14_cut","n_trabajadores_cut","n_profesionales_cut"
"17","00016-1",17,12.5121951219512,0,52.8609756097561,1.94146341463415,33.4726829268293,0.829268292682927,0,3.67338282078473,0,0.585365853658537,105.875334040297,2.26588547189819,1,"regiones",1,0,0,0,62,0,108.141219512195,108.141219512195,1,0,0,0,0
"18","00017-1",18,53.5658537776296,0.198833510074231,19.0507896182948,24.3902448551829,11.0896076352068,9.75609756097561,12.4390243902439,0,0,0,130.490451347608,148.620768164587,3,"metropolitana",4,0,0,2,40.6666666666667,0,93.0370731707317,279.111219512195,3,0,0,2,0
"19","00018-1",19,28.3687800114329,0,60.9756097560976,1.00813012099848,2.05826562235349,61.6779466223982,0,4.87804878048781,0,0,158.966780913768,-110.18629310889,4,"metropolitana",1,0,2,0,17.5,0,12.1951219512195,48.780487804878,4,0,3,0,0
"20","00019-1",20,119.023932926829,12.3090432636469,25.5961692622141,14.6041135328074,97.7880299070848,33.0167682926829,21.9512195121951,90.243125,124.613821138211,49.8079268292683,588.95414966494,-109.184725274696,4,"metropolitana",5,0,0,3,43.25,1,119.942356097561,479.769424390244,4,0,0,3,1
"21","00020-1",21,25.2158537180831,41.4795617995568,57.9016083520167,19.5694520185279,23.8078320974128,17.2152845726944,16.0975609756098,17.2424932547055,205.243902439024,0,423.773549227631,516.479804430905,5,"metropolitana",5,0,1,1,26.2,1,188.050670731707,940.253353658537,5,0,1,1,1
"22","00021-1",22,86.8968713875732,28.6495422877163,97.9564450026159,25.6497754827799,38.8627961570482,33.5034357381821,57.4976590041404,75.0506366877412,52.9674796747968,56.1970777405858,553.23171916318,71.4391954984057,3,"metropolitana",5,0,0,1,35.3333333333333,2,208.223638220528,624.670914661585,3,0,0,1,3
"23","00022-1",23,41.2518296670341,5.46039743599321,19.4962450225465,6.12681178436709,22.6398575468509,45.6425508742544,7.33149791553919,2.25777798377047,0,6.09324770187113,156.300215932227,-63.9972891029587,2,"metropolitana",1,0,0,0,73.5,0,46.1514634146342,92.3029268292683,2,0,0,0,0
"24","00023-1",24,12.0446341463415,0,11.5005960180919,0,14.5162707086977,7.9390243902439,5.0890243902439,0,0,0,51.0895496536188,36.7933771756495,1,"regiones",1,0,0,1,50,0,87.8829268292683,87.8829268292683,1,0,0,1,0
"25","00024-1",25,85.6928104756612,19.656071958899,117.822588110406,1.41879710186064,17.9824209940039,36.03877913446,9.22570755574375,7.58891222950956,0,20.3738271949506,315.799914755494,20.6998413420667,2,"metropolitana",4,0,0,2,28,0,168.24987804878,336.499756097561,2,0,0,2,0
"26","00025-1",26,69.069512195122,2.77764275131069,23.8007940026886,10.3675152439024,25.4304573170732,19.5121951219512,10.9170731707317,1.1383993902439,0,2.1265243902439,165.140113583268,105.439642514293,3,"regiones",4,0,0,1,56,2,90.1932520325203,270.579756097561,3,0,0,1,3
"27","00026-1",27,71.8882929657727,2.9958582604694,7.80487804878049,0.987317073170732,4.7990243902439,1.95121951219512,0,5.1219512195122,0,0,95.5485414701445,19.5734097493677,3,"metropolitana",2,0,0,1,68.6666666666667,0,38.3739837398374,115.121951219512,3,0,0,1,0
"28","00027-1",28,12.4567073170732,3.60795588512177,18.7276016284974,9.68190642110503,58.5728368176539,13.4786585365854,37.0614401858304,23.901821011989,14.6341463414634,27.4557926829268,219.578866828246,-96.6520375599536,4,"regiones",2,0,1,0,22.75,0,30.7317073170732,122.926829268293,4,0,1,0,0
"29","00028-1",29,52.0800000744331,6.347717273705,26.6113846352771,4.92432778421083,6.62984011831823,7.56097537157012,7.59349597465701,2.22120972432198,0,1.96081304782774,115.929764004321,-47.6370810774918,4,"metropolitana",1,0,2,0,25.75,0,17.0731707317073,68.2926829268293,4,0,3,0,0
"30","00029-1",30,73.2294862528447,90.5881871011039,150.180580981418,0,31.3018852655538,122.434759439486,64.9879388903779,105.933487410896,61.9512195121951,102.51201335292,803.119558206795,357.267192103351,4,"regiones",5,0,0,3,30,3,290.096687577537,1160.38675031015,4,0,0,3,3
"31","00030-1",31,74.7024390541635,5.57111153826291,29.6032520424447,8.7878416472607,1.23090950535674,20.0975609756098,13.0271255983588,17.9439252336449,0.315040650406504,0,171.279206245508,20.9159157057111,5,"regiones",3,1,1,0,31.2,0,38.4390243902439,192.19512195122,5,1,1,0,0
"32","00031-1",32,51.7755450662753,12.3150812214177,28.4180851973373,38.3337721512957,34.244197972901,31.6870684952292,26.6233062330623,20.8601337949069,6.09756097560976,15.6108944739365,265.965645581972,20.9826515948577,3,"metropolitana",4,0,1,2,28.6666666666667,0,95.6494323922764,286.948297176829,3,0,1,2,0
"33","00032-1",33,27.7266017709127,9.50810675325294,86.1911382907774,1.80023232773483,5.95205558607379,17.59187041492,47.4022839691776,0,0,0,196.172289112849,150.766247472517,5,"metropolitana",4,1,0,3,37.6,0,69.3877073170732,346.938536585366,5,1,0,3,0
"34","00034-1",34,25.4672560231279,18.6280718912056,20.2474525271477,0.439481707317073,15.6622650729428,0.945121951219512,4.14634146341463,0,0,0.614329268292683,86.1503199046678,84.9638264367957,5,"metropolitana",2,0,3,1,18.8,0,34.2228292682927,171.114146341463,5,0,3,1,0
